Name,Embryo,clusterUmap,Pseudotime,Dataset,EmbryoDay,Stage,clusterEmbryoCells,CDX2,LGALS1,CD3D,AES,EGR1,EGF,HTR2A,CD44,NTN1,SPEN,HEY1,GATA4,CYP3A4,SERPINB5,SHH,POU5F1P4,USF2,CFD,IGF2,TNFSF11,FOXA1,ZEB1,IL23R,NR2F2,ERCC4,SOD2,CLEC4E,PRDM14,FGFR4,CD3E
E5.1.28,E5.1,early_TE,37.29483831,Petropoulos2016,5.0,B,K07,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0
E5.1.30,E5.1,early_TE,39.5373874,Petropoulos2016,5.0,B,K07,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0
E5.1.32,E5.1,early_TE,39.48399343,Petropoulos2016,5.0,B,K07,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0
E5.10.933,E5.10,early_TE,31.49903562,Petropoulos2016,5.0,B,K06,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0
E5.10.934,E5.10,early_TE,39.54913038,Petropoulos2016,5.0,B,K06,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
E5.10.935,E5.10,early_TE,39.0693454,Petropoulos2016,5.0,B,K06,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0
E5.10.936,E5.10,early_TE,32.7124198,Petropoulos2016,5.0,B,K06,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0
E5.10.943,E5.10,early_TE,39.06141731,Petropoulos2016,5.0,B,K06,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0
E5.10.944,E5.10,early_TE,36.40358263,Petropoulos2016,5.0,B,K06,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0
E5.10.945,E5.10,early_TE,37.33262362,Petropoulos2016,5.0,B,K06,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0
